"word";"freq"
"bay";"bay";40
"spin";"spin";40
"happen";"happen";40
"daughter";"daughter";39
"rept";"rept";39
"son";"son";39
"full";"full";39
"cluster";"cluster";39
"state";"state";39
"level";"level";39
"sirius";"sirius";38
"smoke";"smoke";38
"late";"late";38
"seattl";"seattl";38
"great";"great";38
"stand";"stand";38
"posit";"posit";38
"bodi";"bodi";38
"steadi";"steadi";38
"arizona";"arizona";38
"next";"next";38
"quot";"quot";37
"complet";"complet";37
"central";"central";37
"zig";"zig";37
"brighter";"brighter";37
"glide";"glide";37
"type";"type";37
"northeast";"northeast";37
"river";"river";37
"main";"main";37
"call";"call";37
"old";"old";37
"slight";"slight";36
"site";"site";36
"los";"los";36
"disapear";"disapear";36
"incred";"incred";36
"earth";"earth";36
"encount";"encount";36
"wood";"wood";36
"caught";"caught";35
"also";"also";35
"may";"may";35
"set";"set";35
"rise";"rise";35
"squar";"squar";35
"phoenix";"phoenix";35
"island";"island";35
"sec";"sec";35
"colour";"colour";35
"loud";"loud";35
"weird";"weird";35
"launch";"launch";35
"missil";"missil";35
"corner";"corner";35
"ever";"ever";34
"surround";"surround";34
"suspect";"suspect";34
"chevron";"chevron";34
"due";"due";34
"approach";"approach";34
"yellowish";"yellowish";33
"base";"base";33
"street";"street";33
"yes";"yes";33
"famili";"famili";33
"militari";"militari";33
"intens";"intens";33
"well";"well";33
"unidentifi";"unidentifi";33
"can";"can";32
"split";"split";32
"canadian";"canadian";32
"didnt";"didnt";32
"noth";"noth";32
"past";"past";32
"began";"began";32
"less";"less";32
"spheric";"spheric";32
"faint";"faint";31
"six";"six";31
"perfect";"perfect";31
"camera";"camera";31
"michigan";"michigan";31
"zag";"zag";31
"twice";"twice";31
"oregon";"oregon";31
"faster";"faster";31
"planet";"planet";31
"event";"event";30
"date";"date";30
"motionless";"motionless";30
"reappear";"reappear";30
"angel";"angel";30
"real";"real";30
"ago";"ago";30
"flare";"flare";30
"place";"place";30
"hbccufo";"hbccufo";30
"april";"april";30
"shuttl";"shuttl";30
"missouri";"missouri";30
"summer";"summer";30
"dart";"dart";30
"danc";"danc";30
"gray";"gray";30
"spring";"spring";29
"interst";"interst";29
"las";"las";29
"much";"much";29
"instant";"instant";29
"twinkl";"twinkl";29
"burn";"burn";29
"dont";"dont";28
"hum";"hum";28
"vega";"vega";28
"taken";"taken";28
"room";"room";28
"june";"june";28
"rectangl";"rectangl";28
"firework";"firework";28
"now";"now";28
"lot";"lot";27
"separ";"separ";27
"mayb";"mayb";27
"build";"build";27
"iss";"iss";27
"storm";"storm";27
"face";"face";27
"downtown";"downtown";27
"cours";"cours";27
"exact";"exact";26
"shine";"shine";26
"atmospher";"atmospher";26
"acceler";"acceler";26
"crash";"crash";26
"return";"return";26
